PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
21130--COSMOS 2135,10600--SL-8 R/B,0.319987685,40:46.9,4.528938209,-1.836116877,2.582192183,3.236083999,11.54407227,-0.056997519,9.00772228,-7.219646474,78.61594994,-115.6726989,951.1529283,10/26/19 22:29,10/26/19 17:21,975,975,10/28/19 0:00
16727--COSMOS 1745,21230--COSMOS 2142,0.322397025,44:15.1,3.965045299,-3.941254893,-0.182166784,-0.393585251,13.32234297,0.018247587,12.02262562,-5.739421803,73.55172083,99.55524909,974.2880228,10/26/19 21:15,10/26/19 21:10,975,975,10/28/19 0:00
22207--COSMOS 2218,18403--SL-8 R/B,0.32547684,48:41.2,4.799491758,-2.062046208,4.084034294,1.450431129,4.847548703,-0.026313056,1.610473261,-4.572134286,82.52690133,88.02197209,1025.289635,10/27/19 2:47,10/26/19 19:10,975,975,10/28/19 0:00
25977--HELIOS 1B,14033--SL-14 R/B,0.328357153,52:50.1,3.395838762,-3.241527474,0.041007402,-1.011206669,15.04127235,-0.010588348,15.02731796,0.647670168,-78.31996852,64.66726512,650.7573507,10/27/19 0:13,10/26/19 11:12,615,615,10/28/19 0:00
7574--METEOR 1-20,37795--BPA-2/SL-24 R/B,0.329654329,54:42.1,3.316868165,1.802170719,-0.009504521,2.784547501,14.88585907,0.266274296,14.88297371,-0.122441115,-52.95670737,-153.5591125,879.7744945,10/27/19 3:24,10/27/19 4:50,850,LEO,10/28/19 0:00
13778--DELTA 1 R/B,5918--SL-3 R/B,0.336718704,04:52.5,1.442719784,1.427419063,0.008238067,0.209397539,14.86919282,-0.040020353,14.86602789,-0.304151407,56.04836442,-137.9385105,861.3454315,10/27/19 4:24,10/26/19 21:15,850,LEO,10/28/19 0:00
16511--SL-8 R/B,21667--SL-8 R/B,0.337342859,05:46.4,4.473126635,1.978434939,1.24538837,3.813615724,14.0075222,0.013928609,13.31293747,-4.356165731,66.71667015,-52.94468583,985.591392,10/26/19 14:46,10/26/19 21:49,975,975,10/28/19 0:00
426--THOR AGENA B R/B,17360--SL-8 R/B,0.339668866,09:07.4,3.384178124,-0.912703966,-0.790107494,3.161544431,14.25987316,-0.000948079,13.83475476,3.455943031,53.53814287,-2.056815217,1006.286615,10/26/19 21:53,10/26/19 16:25,975,975,10/28/19 0:00
10520--COSMOS 968,16682--SL-8 R/B,0.348482882,21:48.9,2.480456971,-0.746738129,-0.688787705,-2.262878796,14.26701459,0.023169913,13.64649931,-4.161757444,19.58705948,-72.1587874,784.1495335,10/26/19 21:35,10/26/19 21:17,775,775,10/28/19 0:00
20149--COSMOS 2034,11379--SL-8 R/B,0.3575139,34:49.2,4.715142631,3.23956746,-0.423540531,-3.399762656,14.63948414,0.015412971,14.52880745,-1.796667027,1.441656855,-137.2600445,969.2700057,10/27/19 8:23,10/26/19 21:02,975,975,10/28/19 0:00
7349--COSMOS 663,27818--COSMOS 2398,0.357837627,35:17.2,4.761062443,-4.465275944,1.50305939,0.685447882,6.08144679,-0.003580651,2.514751542,-5.537147905,-82.2923574,-107.8195815,1006.483304,10/26/19 19:19,10/26/19 22:30,975,975,10/28/19 0:00
22207--COSMOS 2218,25569--SL-8 R/B,0.360214097,38:42.5,4.73202341,-4.662445983,0.626737367,0.51072819,9.288228544,-0.000902286,5.863232005,-7.20372814,-80.92397281,-163.4320888,994.4427317,10/27/19 2:47,10/26/19 21:29,975,975,10/28/19 0:00
12149--COSMOS 1241,25892--COSMOS 2366,0.360436678,39:01.7,4.143660752,1.187173485,1.52402861,3.665771452,13.57230421,-0.018636295,12.53485318,-5.204281896,44.76688207,-35.6324272,1005.649175,10/26/19 16:57,10/27/19 2:01,975,975,10/28/19 0:00
